CourseCode,CourseTitle,Skill1,Skill2,Skill3,Skill4,Skill5,MainSkill,SkillLevel
IT2080,Information Technology Project,Project Planning & Requirement Gathering,Agile Software Development & Scrum Practices,Team Organization & Collaboration,Software Testing & User Acceptance,Documentation & Presentation Skills,IT Project Management & Execution,Intermediate
IT2070,Data Structures and Algorithms,"Stack, Queue & Linked List Implementation",Tree & Graph Data Structures,Algorithm Analysis & Asymptotic Notations,Searching & Sorting Algorithms,Algorithm Design Techniques,Problem Solving & Algorithm Development,Intermediate
IT2010,Mobile Application Development,Mobile App Development Fundamentals,Android OS & Application Components,UI/UX Design & Mobile Interface Concepts,Data Handling & Media Integration,Application Testing & Security,Mobile Application Design & Development,Intermediate
IT3050,Employability Skills Development Seminar,Soft Skills & Professionalism,Industry Expectations & Workplace Adaptation,Job Role Awareness,Industrial Tools & Technologies,Ethics & Professional Conduct,Employability & Workplace Readiness,Beginner
IT3030,Programming Applications and Frameworks,Web-based Application Development using Java,"Java Frameworks (JAX-WS, Servlets, JSP)",RESTful Web Services,Client-side Development with JavaScript Frameworks,AngularJS & TypeScript MVC Development,Full-Stack Web Application Development,Advanced
IT3071,Machine Learning and Optimization Methods,Neural Networks & Perceptrons,Convolutional Neural Networks,"Deep Sequence Models (RNN, LSTM)",Reinforcement Learning & Q-Learning,"Optimization Methods (Linear, Stochastic, Genetic)",Machine Learning & Optimization,Advanced
IT3031,Database Systems and Data-Driven Application,Object-Relational Database Design,XML & Semi-Structured Data,Indexing & Query Optimization,Transactions & Concurrency Control,Crash Recovery Algorithms,Advanced Database Design & Management,Advanced
IT3021,Data Warehousing and Business Intelligence,Data Warehousing Architecture,Dimensional Data Modelling,ETL/ELT Processes,OLAP Cube Design,BI Solution Implementation,Data Engineering & BI Analytics,Advanced
IT3011,Theory and Practices in Statistical Modeling,Probability Distributions,Hypothesis Testing,Multiple Linear Regression,Time Series Analysis,Bayesian Analysis,Statistical Modeling & Data Analysis,Advanced
IT3041,Information Retrieval and Web Analytics,Boolean Retrieval & Inverted Indexes,"Scoring, Term Weighting & Vector Space Model",Relevance Feedback & Query Expansion,Text Classification & Naïve Bayes,Web Analytics & SEO/SEM,Information Retrieval & Web Analytics,Advanced
IT4041,Introduction to Information Security Analytics,Security Threats Analysis,Vulnerability Assessment,Intrusion Detection & Prevention,Risk Management & Mitigation,Security Monitoring & Reporting,Information Security Analytics,Advanced
IT4011,Database Administration and Storage Systems,DBMS Architecture Analysis,Database Server Configuration,Multilevel Access Control Design,Cloud Database Setup,Enterprise Storage Solutions,Database Administration & Storage,Advanced
